Russian,English
уступка,concession
различать/различить,to distinguish (+a)
остро,"sharply, intensely"
разлагать/разложить,"to analyze, decompose, expand, corrupt, demoralize, break down"
бор,"pine wood, coniferous forest"
чудесно,wonderfully
шумно,noisily
элементарный,elementary
энергичный,energetic
энтузиазм,enthusiasm
этак,"this way, thus; approximately (coll)"
безупречный,irreproachable
шептаться,to whisper
безусловный,unconditional
чувствоваться/по-,to be felt
берёзка,little birch tree
электроэнергия,electric power
бесполезно,uselessly
цирк,circus
биологический,biological
борщ,"borsch, beetroot soup"
борющийся,struggling
четверг,Thursday
бочка,barrel
выявлять/выявить (+a),"to reveal, expose"
влага,"damp, moisture"
бюджет,budget
валять,to drag; to roll
верность,"faithfulness, loyalty; truth"
вертикальный,vertical
взбираться/взобраться,to climb up
вздор,nonsense  (coll)
виться/с-,"to wind, twine, twist"
вишнёвый,cherry (adj)
влюбляться/влюбиться (в +a),to fall in love with
возглавлять/возглавить,"to head, lead (+a)"
возмущённо,indignantly
волевой,strong-willed
воображать/вообразить,to imagine
воронка,funnel
воспринимать/воспринять,to perceive (+a)
вскидывать/вскинуть,"to throw (upwards, up onto) (+a на +a)"
вторник,Tuesday
вуз,"university, institute (higher education establishment)"
вылезать/вылезть,to climb out
горох,peas
делить/раз-,"to divide, share (+a)"
выручать/выручить,to rescue; make (money) (+a)
высадка,"landing, disembarkation"
высылать/выслать,"to send out; exile, deport (+a)"
головной,head (adj)
горечь,bitterness
достигнутый,achieved
грузовой,goods (adj)
двенадцатый,twelfth
девичий,"girl’s, maiden’s"
деваться/деться,"to get to, vanish"
законодательный,legislative
избранный,selected
измерение,measurement; dimension
индийский,Indian
инспектор,inspector
интервью,interview
искоса,sideways (coll)
искусственно,artificially
истёкший,"past, preceding"
досрочно,ahead of schedule
канадский,Canadian (adj)
керосин,kerosene
жар,heat
могущественный,powerful
колокольня,bell-tower
копаться,to rummage; dawdle
критик,critic
многолетний,"lasting many years; long-lasting, perennial"
лауреат,prize-winner
любезный,kind; obliging
любимец,favourite (noun)
мелькать/мелькнуть,to be (briefly) visible
миссия,mission
настоящее,the present
мода,fashion
молиться/по-,to pray
мудрость,wisdom
наполовину,"half, by half"
недовольно,discontentedly
ожидаться,to be expected
необычайно,exceptionally
ноздря,nostril
носок,sock; toe of boot
обсуждаться/обсудиться,to be discussed
огненный,fiery
око,"eye (bookish, poetic)"
ноготь,"fingernail, toenail"
оперативный,energetic; operative
описанный,described
нива,"field, cornfield"
оплата,payment
организованный,organized
нянька,nurse (coll)
раскладывать/разложить,"to put away, lay, set up, distribute, lay out; spread"
